rain,showers,snowfall,temperature_2m,relative_humidity_2m,wind_speed_10m,wind_speed_80m,wind_gusts_10m,wind_direction_10m,wind_direction_80m
0.0,0.0,0.0,-3.3,84.0,7.7,,10.4,281.0,
0.0,0.0,0.0,-3.3,84.0,7.7,,10.4,281.0,
0.0,0.0,0.0,-3.3,84.0,7.7,,10.4,281.0,
0.0,0.0,0.0,-3.3,84.0,7.7,,10.4,281.0,
0.0,0.0,0.0,-3.3,84.0,7.7,,10.4,281.0,
0.0,0.0,0.0,-3.3,84.0,8.8,,11.9,279.0,
0.0,0.0,0.0,-3.3,84.0,8.8,,11.9,279.0,
0.0,0.0,0.0,-3.3,84.0,8.8,,11.9,279.0,
0.0,0.0,0.0,-3.3,84.0,8.8,,11.9,279.0,
0.0,0.0,0.0,-3.3,84.0,7.7,,10.4,281.0,
0.0,0.0,0.0,-3.3,84.0,8.8,,11.9,279.0,
0.0,0.0,0.0,-3.3,84.0,7.7,,10.4,281.0,
0.0,0.0,0.0,-3.3,84.0,8.8,,11.9,279.0,
0.0,0.0,0.0,-3.3,84.0,7.7,,10.4,281.0,
0.0,0.0,0.0,-3.3,84.0,7.7,,10.4,281.0,
0.0,0.0,0.0,-3.3,84.0,7.7,,10.4,281.0,
0.0,0.0,0.0,-3.3,84.0,8.8,,11.9,279.0,
0.0,0.0,0.0,-3.3,84.0,7.7,,10.4,281.0,
0.0,0.0,0.0,-3.3,84.0,8.8,,11.9,279.0,
0.0,0.0,0.0,-3.3,84.0,7.7,,10.4,281.0,
0.0,0.0,0.0,-3.3,84.0,7.7,,10.4,281.0,
0.0,0.0,0.0,-3.3,84.0,7.7,,10.4,281.0,
0.0,0.0,0.0,-3.3,84.0,7.7,,10.4,281.0,
0.0,0.0,0.0,-3.3,84.0,7.7,,10.4,281.0,
0.0,0.0,0.0,-3.3,84.0,8.8,,11.9,279.0,
0.0,0.0,0.0,-3.3,84.0,7.7,,10.4,281.0,
0.0,0.0,0.0,-3.3,84.0,8.8,,11.9,279.0,
0.0,0.0,0.0,-3.3,84.0,7.7,,10.4,281.0,
0.0,0.0,0.0,-3.3,84.0,8.8,,11.9,279.0,
0.0,0.0,0.0,-3.3,84.0,7.7,,10.4,281.0,
0.0,0.0,0.0,-3.3,84.0,7.7,,10.4,281.0,
0.0,0.0,0.0,-3.3,84.0,7.7,,10.4,281.0,
0.0,0.0,0.0,-3.3,84.0,7.7,,10.4,281.0,
0.0,0.0,0.0,-3.3,84.0,7.7,,10.4,281.0,
0.0,0.0,0.0,-3.3,84.0,7.7,,10.4,281.0,
0.0,0.0,0.0,-3.3,84.0,7.7,,10.4,281.0,
0.0,0.0,0.0,-3.3,84.0,7.7,,10.4,281.0,
0.0,0.0,0.0,-3.5,84.0,8.4,,11.5,277.0,
0.0,0.0,0.0,-3.3,84.0,7.7,,10.4,281.0,
0.0,0.0,0.0,-3.3,84.0,8.8,,11.9,279.0,
0.0,0.0,0.0,-3.3,84.0,7.7,,10.4,281.0,
0.0,0.0,0.0,-3.3,84.0,8.8,,11.9,279.0,
0.0,0.0,0.0,-3.3,84.0,7.7,,10.4,281.0,
0.0,0.0,0.0,-3.3,84.0,7.7,,10.4,281.0,
0.0,0.0,0.0,-3.3,84.0,7.7,,10.4,281.0,
0.0,0.0,0.0,-3.3,84.0,8.8,,11.9,279.0,
0.0,0.0,0.0,-3.3,84.0,7.7,,10.4,281.0,
0.0,0.0,0.0,-3.3,84.0,8.8,,11.9,279.0,
0.0,0.0,0.0,-3.3,84.0,7.7,,10.4,281.0,
